sense_1,sense_2,main_cl
друзья товарищи,сверстники,1074
вмещаться вместиться помещаться поместиться на каком либо виде транспорта,попадать попасть на доску почёта в газету и л,1848
исключать исключить кого что из списка и л,разгружать разгрузить что,2422
исключать исключить кого что из списка и л,стирание,2998
исключать исключить кого что из списка и л,стирание,2998
восставать восстать выступать выступить кого л,противостоять кому чему,2817
восставать восстать выступать выступить кого л,антагонизм,1833
выдавать выдать отпускать отпустить что,выдача отпуск х апчып атра выдача товаров,2711
выдавать выдать отпускать отпустить что,вручение,2991
выдавать выдать отпускать отпустить что,вручение,2991
плотно закрывать закрыть закупоривать закупорить что чем,натягивать натянуть набивать набить что на что,1967
сдирать содрать что с кого чего,стаскивать стащить с кого брюки и О х чва х хъйырч врыт он дорого взял с нас,2772
вести мелодию без слов на фоне другого голоса со словами песни,прям подпевать кому,1870
присоединяться присоединиться к кому чему,сопровождать кого что,1391
носить что с чем,выполнять работу помимо основной,2920
перех собирать собрать убирать убрать урожай,неперех заниматься сбором урожая,2409
подставлять под ставить что подо что,подпирать подпереть что чем,1284
выпадать выпасть о зубах,отскакивать отскочить отставать отстать о подошве каблуке и,2159
выпадать выпасть о зубах,соскакивать соскочить о колесе,1797
попадать попасть в рот,поперхнуться чем,1678
останавливаться остановиться,умолкать умолкнуть замолчать,1517
перечислять перечислить называть назвать упомянуть всех,перечисление упоминание,1228
волочить поволочить вниз кого что,стаскивать стащить кого что напр со стога скирды,2743
ясный определённый,известный популярный,138
быть ясным определённым,быть известным популярным,1237
полумёртвый,слабый хилый,117
недоделанный недостроенный,недовыполненный,494
наставник советчик,дрессировщик,1092
быть находиться между кем чем,быть посредником посредничать,3031
протекать течь между чем в направлении от говорящего,проскакивать проскочить между кем чем в направлении от говорящего,2360
место в судебном присутствии разгороженное на три части для судьи для подсудимого и для свидетелей,площадка отведённая для игр танцев и агваран швырду шире круг,2482
запоминать запомнить что,понимание,1129
поспешность торопливость,несчастный случай,617
подозревать кого в чём,обижаться обидеться на кого,2863
думать подумать о чём,таить затаить что,1987
группа,среда окружение,917
группа,компанейский,935
тост,рог с вином подносимый лицу приветствующему компанию словом гвыпмышбзи см,869
перех воровать красть украсть что,умыкание,1617
певец импровизатор,массовик разг,361
круговорот,круг окружность,728
входить войти въезжать въехать между чем по направлению к говорящему,посредничать становиться стать посредником между кем,2337
течь протекать между чем по направлению к говорящему,быть пониженным в должности,1876
крепко привязывать привязать кого что к чему,плотно закрывать закрыть что по направлению к говорящему,2487
зачинатель,затейник,193
зачинатель,затейник,193
уносить унести брать взять с собой что действие направлено в сторону говорящего,приступать приступить к чему,1859
получать получить что," прибывать, прибыть (двигаясь по направлению к говорящему)",2393
снова отнимать отнять отбирать отобрать что,снова повторно снимать снять ранее положенное на поверхность,2059
сваливаться свалиться откуда,отклеиваться отклеиться о марке фотографии и,1948
бросать бросить что на поверхность по направлению к говорящему,накрывать накрыть кого что чем,2380
сносить снести что сверху вниз,стаскивать стащить кого напр с лошади,2782
принимать привить участие в чём,вступать вступить в организацию,1240
принимать привить участие в чём,вступать вступить в организацию,1240
принимать привить участие в чём,присоединиться присоединиться к ко му чему,2240
рассыпать рассыпать разбрасывать разбросать что по поверхности че го л,класть положить что во что,2449
источник доходов,след оставшийся после извлечения острых предметов,796
отбирать отобрать кого что,трен вышвырнуть кого из организации и л,3000
ронять уронить из рук что умышленно,отбивать отбить охоту у кого к чему,2530
сгружать сгрузить что в сторону говорящего,снимать снять кого что с чего откуда по направлению к говорящему,2394
сгружать сгрузить что в сторону говорящего,вычитывать вычитать что,1872
сходить сойти с чего по направлению к говорящему,увольняться уволиться с работы,2351
очищать очистить обкрадывать обокрасть кого что неперех,прилетать прилететь по направлению к говорящему,1864
становиться стать в углубление,выступать выступить где,1217
становиться стать в углубление,выступать выступить где,1217
подавать подать что по направлению к говорящему,копирка разг,2327
вытаскивать вытащить выдвигать выдвинуть что к себе,неперех выливаться вылиться откуда,1714
подниматься подняться наверх по направлению к говорящему,лезть налезать налезть об обуви о головном уборе,1855
заходить зайти подо что двигаясь в сторону говорящего,лезть в глаза о дыме,1862
выгонять выгнать кого из под чего по направлению к говорящему,пе рен раскрывать раскрыть заговор преступление и,2363
выпускать выпустить кого из под чего напр из под кровати из под стола и,переиздавать переиздать что,2745
издательство,в роли опр издательский,1093
класть положить кого что на землю,расстилать разостлать что,2913
Д прописное Дагестан,дагестанец дагестанка,763
Д прописное Дагестан,дагестанец дагестанка,763
крыло крылья,плечо плечи,417
истец,оппонент,139
отправлять отправить кого что в направлении от говорящего,запуск мотора и,2329
отправлять отправить кого что в направлении от говорящего,начало действия,2329
начало исходное место отправной пункт,введение предисловие,809
а траур,в роли опр траурный,770
швейная мастерская,шов,362
глагольный аффикс потен уиалиса возможности обозначает умение сделать напр запхьара уметь суметь читать что зыг вра уметь суметь писать что зчважвара уметь суметь произнести речь,озвончённый вариант,1295
уметь суметь увеличить что,увеличивать увеличить что по чье му л желанию по чьей л просьбе,2754
воедино,вводи сл во первых,718
элегантный,дружный сплочённый,145
то находится лежит на виде транспорта,то напечатано где,3047
то находится лежит на виде транспорта,то напечатано где,3047
вводи сл во первых,сперва сначала вначале,718
то висит,то лежит,715
К прописное Китай,китаец китаянка,792
К прописное Китай,китаец китаянка,792
переселяться переселиться,кочёвка перекочёвка,1592
надбавка прибавка,клавиш клавиша клавиши музыкального инструмента,810
виновный,несправедливый,691
ветвистый разветвленный,лохматый,400
совет наставление,сомнение колебание,619
перех убирать убрать уносить унести кого что от чего,перех выкалывать выколоть глаз глаза,2784
седлать оседлать лошадь,собираться собраться в дорогу,1847
толочь что и без доп,рушить что и без доп,1595
сеять посеять что и без доп,сажать посадить что и без доп,1596
малость незначительное ничтожное количество,недостаток нехватка,445
дополнять дополнить работа,обеспечивать обеспечить наука рхъвыхырта научно ис снабжать снабдить кого чем,2755
вождение,расследо ненец,194
путешествен йннажьхт теленок бросил сосать ник,бродяга,807
носить нес номр номер,вать руководить кем чем,1366
клясться давать дать клятву,поздравлять поздравить кого с чем,874
клясться давать дать клятву,поздравлять поздравить кого с чем,874
управляющий усадьбой князя,советник советчик,797
становиться стать политработником,переходить перейти на партийную работу,1214
быть политработником,находиться на партийной работе,811
быть политработником,находиться на партийной работе,811
разведчик,наблюдающий за местностью дозорный,184
воодушевлять воодушевить кого,располагать расположить к себе кого,2822
сплющивать роль,толочь расто вать роль наизусть лочь что,1230
удорожать удорожить чти поднимать поднять цепы на что,пе рен прнииматг принять хорошо косо Лбаз русск л,1788
дурачить одурачивать одурачить кого,отравлять отравить кого,2845
дурачить одурачивать одурачить кого,отравлять отравить кого,2845
увеличивать увеличить приумножать приумножить что,размножать размножить что,2000
ставить поставить что возле около многих,грозить пригрозить оружием многим,2738
делать сделать красным кого что,вгонять вогнать в краску кого,2875
править что,уточнять уточнить что,1597
заставлять заставить принуждать принудить кого прыгнуть во что,набрасывать набросить накидывать накинуть что на что,3001
мгновенно разрушиться находясь в или испытывая действие сверху вниз,разбиваться разбиться вдребезги находясь в чём л,1903
ссылать сослать высылать выслать кого,вынос вывоз,2785
выступ,горб,186
выносливый сильный,расторопный ловкий быстрый,272
быть выносливым сильным,быть расторопным ловким быстрым,1564
браться взяться за занятие заняться чем," сплачиваться, сплотиться, объединяться, объединиться",2246
браться взяться за занятие заняться чем," сплачиваться, сплотиться, объединяться, объединиться",2246
вцепляться вцепиться в кого что ала амшв тшаланарпат собака вцепилась в медведя,впиваться впиться во что ащалхга ащап ы тшаланарпат пиявка впилась в ногу,2455
погибать погибнуть по своей неосторожности,утомлять утомить изнурять изнурить себя чем,2068
развязно держаться невоспитанно вести себя,балагурить,1628
стараться казаться молодым молодиться,унижаться унизиться перед кем,2852
валяться аде,выпачкаться вываляться в чём,1927
быть у всех на виду быть на глазах,думать мнить о себе много,1474
казаться миловидным симпатичным,стараться быть мягким ласковым,1178
топиться утопиться,перен давиться подавиться,1469
вязкий,мягкий нетвердый,366
обух,макушка вер шина,359
адвокат защитник,доверенное лицо поверенный в делах,789
недавно выделившееся хозяйство напр молодожёнов,новосёл,822
задание,работа,689
тир,полигон,213
тир,полигон,213
руководство,предводительство,245
чехлить зачехлить что,обёртывать обернуть что,1992
неперех трепаться обтрепаться изнашиваться износиться о краях одежды,перех затуплять затупить что неумело затачивая,2180
происходить произойти вести своё происхождение от кого,претерпевать претерпеть неудобства неустроенность и,2989
обсыхать обсохнуть сверху,обветриваться обветриться о лице губах,1598
загибать загнуть что,закатывать закатать что,1730
наизнанку,шиворот навыворот,358
клеить заклеить что,накладывать наложить пластырь,1752
косить скосить глаза,выпячивать выпятить живот,1587
косить скосить глаза,кривить скривить обувь,1599
вытопки выжарки полученные при вытапливании сала,молозиво,1750
место где можно спать,спальня,707
рвать разорвать изорвать в клочья что,щипать общипать кого что,2733
неприятное чувство,нежелание,530
без любви,нехотя без желания,875
комолый безрогий,безголовый пустоголовый,402
покрывало,одея л о тонкое не стёганое,513
отчий край отчизна,участок,723
скорый быстрый,важный ответственный,276
бить в зубы дать по зубам,ударять ударить по лицу в лицо,2122
расстояние,местность,725
создаваться создаться,устанавливаться установиться,1600
создаваться создаться,крепнуть окрепнуть материально становиться стать на ноги,1213
намного во много раз,много раз многократно,442
путы,нежелательный спутник обуза в пути,529
кровоподтёк,кровотечение,58
подходить подойти к кому чему," соглашаться, согласиться с чем",1399
набрасываться наброситься друг на друга,схватываться схватиться сцепляться сцепиться в драке споре,2086
набрасываться наброситься друг на друга,схватываться схватиться сцепляться сцепиться в драке споре,2086
бушевать разбушеваться волноваться взволноваться о воде,всколыхнуться приходить прийти в движение о многих,2191
входить войти в густую массу,вмешиваться вмешаться в разговор,2344
класть положить что в массу,прикалывать приколоть что,2921
разрываться разорваться,отцепляться отцепиться,1518
вращаться кружиться с кем чем,возвращаться вернуться с кем чем,2954
подтягивать подтянуть пояс подпругу и,оказывать оказать нажим на кого,2490
замолкать замолкнуть,переставать перестать делать что,2167
долг обязанность,цель задача,657
выбегать выбежать выскакивать выскочить из углубления по направлению к говорящему,примчаться откуда,2364
выходить выйти из углубления по направлению к говорящему,уезжать уехать откуда на всегда,2703
выходить выйти из углубления по направлению к говорящему,возвращаться возвратиться откуда,2396
вообще,именно как раз,683
крупный большой рослый,кряжистый,118
ожог,пожар пожарище,180
не хватать недоставать,не наедаться не наесться не насыщаться не насытиться,1629
путешествен йннажьхт теленок бросил сосать ник,быстрый корову в ходьбе лёгкий на ногу о новатор новатор,2600
быть крупным по размерам,быть жёстким грубым шероховатым,466
накалять накалить раскалять раскалить что,трен злить разозлить кого,2108
увеличивать увеличить приумножать приумножить что,размножать размножить что,2000
выходить выйти изнутри из углубления,уезжать уехать,2703
выходить выйти изнутри из углубления,уезжать уехать,2703
браться взяться за занятие заняться чем," сплачиваться, сплотиться, объединяться, объединиться",2246
тяжёлый,беременная,57
облезать облезть о коже о ворсе и л,беднеть обеднеть,2491
развешивать развесить что,раскидывать раскидать разбрасывать разбросать что напр для сутки,2417
неприятный,нежеланный,655
комолый безрогий,безголовый пустоголовый,402
неприличие,позор,677
застревать застрять увязать увязнуть завязнуть в массе,запутываться запутаться в чём,2178
обанкротиться,лишаться лишиться кого чего,1630
обанкротиться,лишаться лишиться кого чего,1630
проситель просительница,попрошайка,63
проситель просительница,попрошайка,63
поучение наставление совет,нотация,682
принимать привить участие в чём,входить войти в густую массу или в массу однородных предметов по направлению к говорящему,2385
принимать привить участие в чём,присоединиться присоединиться к ко му чему,2240
вытаскивать вытащить вынимать вынуть что,добывать добыть получать получить что из чего,2016
выходить выйти из леса зарослей и п по направлению к говорящему,выходить выйти из социальной среды,1832
напоминать напомнить о чём кому,заставлять заставить себя вспомнить что,1278
переходить перейти что через что по направлению к говорящему,перешагивать перешагнуть что через что по н аправлен ию к гово ря щему,2585
край сторона,рубеж граница,717
уметь суметь увеличить что,увеличивать увеличить что по чье му л желанию по чьей л просьбе,2754
повалить побороть кого,валить повалить что,2848
посуда столовая,инструмент инструменты,303
маломощный малосильный,бедный,103
лакать вылакать что,проглотить съесть в мгновение ока что,2131
сладкий,перен ласковый,284
быть неудачником неудачливым,бездельничать быть бездельником,1119
поверхность,поверхностный,727
дотягиваться дотянуться до высоко расположенного,добиваться добиться цели,1139
дотягиваться дотянуться до высоко расположенного,добиваться добиться цели,1139
сыпать в рот что,рассыпать рассыпать по склону что,2429
заставлять заставить друг друга кричать доводить довести друг друга до крика в ссоре,кричать шуметь всем вместе поднимать поднять крик шум,2725
подгонять подогнать пригонять пригнать что плотно по размеру,сгонять согнать кого е одно место,2304
кричать кому,кричать друг другу,1660
кричать закричать всем вместе подни мать поднять крик,кричать накричать друг на друга,2103
гнить сгнить о части чего л,распадаться распасться от гниения о продолговатых предметах,1946
гнить сгнить о части чего л,распадаться распасться от гниения о продолговатых предметах,1946
поучение наставление совет,нотация,682
ужасаться ужаснуться,поддаваться поддаться панике растеряться,1490
проявлять проявить добросердечие добродушие,становиться стать добросердечным добродушным,1161
проявлять проявить добросердечие добродушие,становиться стать добросердечным добродушным,1161
расти вырасти о растениях зубах,родиться уродиться о хлебах,1420
щипать выщипывать выщипать что,обрывать оборвать срывать сорвать что,1774
насилие произвол,деспотичный,171
К прописное Китай,китаец китаянка,792
слепая кишка аппендикс,аппендицит,429
толочь что и без доп,рушить что и без доп,1595
быть слепым,быть близоруким недальновидным,633
пропасть бездна,место гибели,1497
прогибаться прогнуться,прогиб,55
завещание последняя воля,завет,702
тир,полигон,213
тряпьё барахло,барахло о человеке,861
приедаться приесться о пище,надоедать надоесть опротиветь кому,2825
уничтожать уничтожить истреблять истребить друг друга,ссора брань,2937
морщиться сморщиться,усыхать усохнуть ссыхаться ссохнуться о коже шкуре,2176
устраивать устроить беспорядок,портить испортить кого что,2846
отличать отличить распознавать распознать что,выяс нять выяснить что,1265
толкать толкнуть кого что под кого что,бросать бросить кого что под кого что,2808
ясность определённость,известность популярность,621
шкар получать получить что,приводить привести домой кого,2292
дрофа,верзила,345
нехватка недостача,обжора,500
зуб зубы,резец инструмента машины в роли опр зубной,772
жать сжать что,толочь истолочь что,1991
жать сжать что,точить наточить что,1991
жать сжать что,толчение,1681
самолюбие,своеволие,140
обломанный,обедневший,231
пахарь,умеющий хорошо пахать опытный пахарь,842
неприятное чувство,нелюбовь,506
быть распухшим опухшим раздутым,быть надутым иметь недовольный вид,1204
мчаться промчаться нестись пронестись мимо кого чего,течь протекать мимо чего о реке,2306
неперех скоблить соскабливать соскоблить что с чего,неперех скрестись в дверь проситься в дом о животных,2786
сдвигать сдвинуть что ранее отодвинутое друг от друга напр стулья столы и,мирить примирить поссорившихся ит л,1360
притягивать притянуть подтягивать подтянуть подтаскивать подтащить кого что к чему,крепко привязывать привязать кого что к чему,2748
притягивать притянуть подтягивать подтянуть подтаскивать подтащить кого что к чему,крепко привязывать привязать кого что к чему,2748
жирный,полный сил цветущий,121
вдохновлять вдохновить воодушевлять воодушевить кого на что,натравливать натравить кого на кого,2843
быть воинственным,быть драчливым,1173
неперех наседать насесть о пыли,перех выносить вынести кого что напр течением на берег,2781
перех и неперех сеять посеять что и без доп, перех. и неперех. ссыпать (ссыпать) в кучу что и без доп.,1591
спускать спустить курок огнестрельного оружия,стегать простегать что напр одеяло,2098
попадать попасть в кого что,помещаться поместиться в чём на чём,2931
соединять соединить брёвна выдолбив в них пазы,строить выстроить из брёвен рубить срубить что,2493
соединять соединить брёвна выдолбив в них пазы,строить выстроить из брёвен рубить срубить что,2493
хорошо лечь быть пригнанным о брёвнах и быть аккуратно сложенным о сене о вещах и,накапливаться накопиться скапливаться скопиться,2402
не попадать не попасть в кого что промахиваться промахнуться," не совпадать, не совпасть, расходиться, разойтись (о мнениях, действиях)",2692
перебить перестрелять кого уничтожать уничтбжить истреблять истребить что,резать изрезать порезать разрубать разрубить что на мелкие части,2035
пачкать испачкать запачкать кого что,расстраивать расстроить напр компанию,2846
насыпанный во что,набивной о ткани,312
толочь что чем,колоть уколоть кого что чем,2768
расплетаться расплестись развиваться развиться о канате верёвке,расползаться расползтись в разные стороны о хворосте прутьях,2458
выбивать выбить выколачивать выколотить что," отличать, отличить, распознавать, распознать что",1265
пробираться пробраться переползать переползти через густую массу,выбираться выбраться из густой массы,2404
доставлять доставить кому удовольствие,давать дать кому возможность нажиться,2886
перебирать перебрать сортировать рассортировать что,переборка сортировка,1719
перебирать перебрать сортировать рассортировать что,обособление отделение,1719
туда сюда,без оговорок безоговорочно,3040
попадать попасть на доску почёта в газету и л,укладываться уложиться в какой либо вид транспорта,2319
созревать созреть поспевать поспеть,выходить выйти получаться получиться,2189
похищать похитить что беря сверху,растягивать растянуть сухожилие,1772
сыпаться высыпаться высыпаться через край о сыпучем,размножаться размножиться,2429
выбивать выбить напр пробку ив бутылки,отбивать отбить запах,2140
сдирать содрать что с кого чего,стаскивать стащить с кого брюки и О х чва х хъйырч врыт он дорого взял с нас,2772
размножаться размножиться плодиться расплодиться,расслаиваться расслоиться,2418
размножаться размножиться плодиться расплодиться,парен толстеть растолстеть,1427
вести мелодию без слов на фоне другого голоса со словами песни,прям подпевать кому,1870
полу наполовину напр бжачв полусонный,приставке недо напр бжа бкъа недомолоченный,1585
становиться стать хорошим добрым,выздоравливать выздороветь поправляться поправиться,1176
язык,сплетня,1038
перех носить нести приносить принести кого что,неперех распространяться распространиться о слухе вести и,2787
вызывающий досаду раздражение,обидный,1672
вызывающий досаду раздражение,неясный путаный запутанный,609
запоминать запомнить что,запоминание,1129
запоминать запомнить что,понимание,1129
душевная боль,обидный,900
душевная боль,обидный,900
вызывающий панику,безнадёжный,54
неспокойный беспокойный,трудный сопряжённый с трудностями,492
сердечное заболевание,сострадание сочувствие,607
ударять ударить в бок кого,изводить извести мучить измучить кого,2836
звукоподража ние шуму движущегося транспорта,погремушка,839
перех скоблить соскабливать соскоблить что,неперех испытывать скорбь горе,2137
привязывать привязать кого что к чему ачв ауандыр йг адх валра привязать быка к бричке,притаскивать притащить что к чему по направлению к говорящему,2488
посыпать посыпать что чем,ссыпать ссыпать что,2451
валить о снеге,литься выливаться сверху вниз о густой массе,1466
обматывать обмотать что чем," огораживать, огородить что",1710
бить ударять ударить во что находясь лицом к говорящему,опускать опустить окунать окунуть руку в однородную массу жидкость,2107
выводить вывести вывозить вывезти кого что из густой или однородной массы по направлению к говорящему,выводить вывести птениов,2421
выглядывать выглянуть из леса зарослей и п по направлению к говорящему,виднеться просвечивать сквозь что,1113
просачиваться просочиться через сквозь что,быть мокрым о мягких и пористых предметах,1798
выпускать выпустить кого из леса зарослей и п по направлению к говорящему,выкраивать выкроить что сэкономить на чём,1803
проступать проступить выступать выступить оседая на поверхности о соли пятнах от сырости ит,отражаться отразиться отображаться отобразиться,2219
появляться появиться в печати,вмешаться вместиться помещаться поместиться где,2248
очищать очистить обкрадывать обокрасть кого что неперех,прилетать прилететь по направлению к говорящему,1864
возвращать вернуть от да вать отдать что,изгиб место изгиба,2984
освежать освежить кого что,охлаждать охладить что,1577
сводить свести кого что сверху вниз по направлению к говорящему,вытащить затащить кого в круг танцующих и,2397
выливать вылить густую массу по направлению к говорящему,выдавливать выдавить напр зубную пасту крем и из тюбика,1815
набивать набить что на что,плотно натягивать натянуть на голову что,2126
занимать занять какую л площадь,быть охваченным входить,2922
добывать добыть что х ахъврачва добывать каменный уголь,доставать достать что из под чего ачемодан ачвартагъвы йг ац хра достать чемодан из под кровати,2443
выгонять выгнать кого из под чего по направлению к говорящему,пе рен раскрывать раскрыть заговор преступление и,2363
время выхода из под чего,время восхода небесных светил,2571
время выхода из под чего,время восхода небесных светил,2571
выпускать выпустить кого из под чего напр из под кровати из под стола и,выписывать выписать кого напр из больницы,2713
выпускать выпустить кого из под чего напр из под кровати из под стола и,переиздавать переиздать что,2745
осыпаться осыпаться о зёрнах подсолнуха кукурузы и,осыпаться осыпаться опадать опасть,1825
осыпаться осыпаться о зёрнах подсолнуха кукурузы и,падать о фруктах,1430
зубр,огромный детина громадина,195
швейная мастерская,шов,362
быть решительным,решаться решиться на что,604
уметь суметь согреть кого что,греть согреть что для кого,1566
уметь суметь делать сделать что,делать с дел а т ь что для кого,1303
всё время всегда,беспрерывно не переставая делать что л,1513
будучи вооружённым,в полной амуниции,488
то находится в чем,то лежит в чём,695
К прописное Китай,китаец китаянка,792
вид внешность наружность,изображение,998
убийца,скандалист,196
обноситься,обл ез ать об лезть о животных,2767
отбегать отбежать напр от стены,рыдать зарыдать,2079
вешать повесить что на вертикальную поверхность,наклеивать наклеить что на вертикальную поверхность,2061
лезть вылезать вылезти о шерсти у животных,отходить отойти о штукатурке об обоях,2788
выглядывать выглянуть откуда,выглядывание,584
выглядывать выглянуть откуда,наблюдение,1594
перех убирать убрать уносить унести кого что от чего,попрошайничество,2927
сеять посеять что и без доп,сажать посадить что и без доп,1596
дымоход дымоходная труба,дом домашний очаг уг айгва лгва тыц ыртак х аргьи йх ымап заходи будь гостем у нас тоже свой дом,1742
ухо уши,петля в хомуте в нижней его части для скрепления,1767
развилка дорог перекрёсток,место где можно с одной дороги перейти на другую,2302
