sense_1,sense_2,mark
sheep,"kind, good-hearted",1
empty,"only, just",1
alone,"only, just",1
to dilute,to deceive,1
to throw,to copulate,1
to go after smb.,to copulate,1
"stone, rock",fool,1
"only, just","but, however",1
"naked, bare","only, just",1
"naked, bare",insolent,1
to break (tr.),to dilute,1
"muddy, turbid (of water) (?)",to fornicate,1
conversation,"custom, habit",1
body,to copulate,1
corpse,to stink,1
clever,physician,1
exact,to be alike,1
to measure,moderate,1
to finish,"totally, absolutely",1
flea,bad,1
flower,menstruation,1
long (period of time),to endure,1
corpse,to grow numb,1
tasty,good,1
clever,"grown-up, adult",1
to clean,to investigate,1
heavy (of weight),"ernest, grave",1
to rein in,"to restrain, control one’s feelings",1
to hear,"to learn, find out",1
tooth,rock,1
"to untie, unbind",to let,1
"to untie, unbind",to forgive,1
"to untie, unbind",to begin (tr.),1
to break (tr.),to refute,1
rural,"rude, impolite",1
to return (intr.),again,1
border,"country, land",1
body part,"cell (of a political party, organization)",1
"to castrate, geld",fat (adj.)(of a person),1
to boil (intr.),to grow (plants),1
face,"to govern, control, rule",1
to divide into several parts,to analyse,1
to hang,to be suspended,1
to repeat,"to learn, study",1
"to raise, lift (tr.)",to bring into discussion,1
"to raise, lift (tr.)",to begin (tr.),1
to find,to exist,1
"to walk, wander",to be engaged in commerce,1
to die,to stop doing smth.,1
"can, to be able","grown-up, adult",1
"sign, designation",miracle,1
<young animal>,child,1
to hear,witness,1
"to make alive, to give life","to repaire, to mend",1
"to make alive, to give life","to cure, treat (medically)",1
to rest,to stop doing smth.,1
to nomadize,<ethnic group>,1
"seat, chair",boss,1
word,thing,1
trunk (of a tree),tribe,1
to see/to look at,to visit,1
to get accustomed,to love,1
to fall down,cheap,1
to tell,to name,1
to attack,to dance,1
"to cause to want, desire",necessary,1
to harness,two,1
to harness,"trap, snare (n.)",1
day,to guard,1
to wait,"to remain, stay",1
to disappear,to decide,1
mountain,monastery,1
uninhabited place,monastery,1
foot/leg,lower part,1
red,yolk,1
thin (of an object),"detailed, thorough",1
man,main,1
"stranger, foreign",other,1
one (unit),"only, just",1
to move quickly,to become ready (of food),1
to make a hole,to rise (of heavenly bodies),1
to make a hole,to grow (plants),1
sharp,iron,1
to let go,to leave,1
head,top,1
to enter,to shrink (of textile),1
knee,strong,1
to fall down,to begin (tr.),1
land (vs. sea),floor (vs. ceiling),1
land (vs. sea),bottom,1
body,penis,1
fresh,cold (adj.),1
fresh,wet,1
belly,glutton,1
belly,body,1
to begin (tr.),"to check, test",1
tooth,blade,1
to draw water,to imitate,1
to know,poetry,1
poetry,false,1
hair,respect (n.),1
eyelash,"ear, spike (of a grain plant)",1
cheek,chin,1
"country, land",chapter (of a book),1
"to spring, jump","to skip over, overlook",1
to rest,<unit of length>,1
to rest,chapter (of a book),1
finger/toe,"salient part, ledge",1
to leave,to forgive,1
finger/toe,"branch, twig",1
liver,belly,1
"to go, walk",to copulate,1
belly,centre,1
heart,mind (n.),1
heart,inside,1
heart,belly,1
womb,relative (n.),1
to see/to look at,opposite,1
elephant,animal,1
"bowels, intestine",location of emotions,1
"bowels, intestine",brave,1
"bowels, intestine",close (of relations),1
nose,sharp point,1
lung,red,1
hot,to succeed,1
shoulder,"help, aid (n.)",1
jaw,blade,1
back (body part),loins,1
forehead,"happiness, luck",1
navel,lower part,1
loins,thigh / hip,1
lap,vagina,1
lap,womb,1
chest (body part),loins,1
egg,larva,1
thing,genitalia,1
heart,chest (body part),1
foot/leg,stem (of a plant),1
to bring,to sacrifice (relig.),1
buttock,lower part,1
buttock,genitalia,1
to choose,good,1
to throw,"to draw, paint",1
<young animal>,bastard,1
new,moon,1
"present, gift",talent,1
"present, gift",beautiful,1
father,boss,1
"to precede, come first",first,1
"to precede, come first","to go forward, advance",1
Monday,misfortune,1
to go after smb.,near,1
tongue (body part),cape,1
to be ashamed,to respect,1
straight,to succeed,1
to transit,"to surpass, exceed",1
meat,body part,1
to be awake,ambush,1
day,today,1
blood,kinship,1
stepson,sucker (botany),1
descendant,sucker (botany),1
womb,inside,1
skull,pottery fragment,1
"to raise, lift (tr.)",to abolish,1
to move,to go mad,1
to forget,forget-me-not (flower),1
to temper (iron),brave,1
hand,"cluster, bunch",1
paw,"branch, twig",1
to give,to sell,1
"to search, to look for","to recall, recollect",1
"to fight, scuffle",to awaken,1
"to fight, scuffle",to copulate,1
to throw,to sow,1
strong,healthy,1
to choose,to read,1
to ask (for),to buy,1
to take out,to marry,1
grandfather,uncle,1
to sit,"to remain, stay",1
to sit,to be situated,1
hand/arm,"handle, gripe",1
foot/leg,"handle, gripe",1
sharp point,tooth,1
to ripen,"to ferment, yeast",1
evil (adj.),spicy,1
root (of a plant),courage,1
root (of a plant),tendon,1
to pass by,wrong,1
middle,loins,1
chin,gills,1
old (vs. young),to spoil (intr.),1
sun,lightning,1
sun,"watch, clock",1
to sing,to dance,1
to work,to copulate,1
leaf,feather,1
inhabitant,beetle,1
tongue (body part),cheek,1
to ask (for),to tell,1
<fish>,lean,1
to pinch,to offend (tr.),1
to chew,to oppress,1
to chew,"to ignore, not to greet somebody",1
flower,cunning person,1
"to beat, hit",to cut (tr.),1
to go out,to go up,1
to go out,"to appear, emerge",1
"to turn, rotate (tr.)","to govern, control, rule",1
"to pull, to draw",to draw (an official paper),1
"to pull, to draw",to shrink (of textile),1
"to pull, to draw",to distort,1
"to pull, to draw","to distill, retort",1
"to pull, to draw","to smear, anoint",1
"to pull, to draw",to build,1
jerboa,weak,1
"acrobat, equilibrist",cunning person,1
to put,"to let grow (of beard, moustaches, hairs)",1
hunter,wolf (Canis lupus),1
body,person,1
person,<ethnic group>,1
mountain,island,1
North,west,1
to be born,to grow (plants),1
guest,menstruation,1
warm,drunk,1
"fearful, dreadful","ugly, unpleasant",1
"ugly, unpleasant",bad (ethically),1
word,thing said,1
transparent,comprehensible,1
good,"property, possessions",1
to eat,to corrode,1
to break (tr.),to be reluctant,1
to do,to speak,1
to guess,to understand,1
to press down,greedy,1
"to stick (to a surface), to adhere",greedy,1
hot,"friendly, amicable",1
"to untie, unbind",to explain,1
head,main,1
head,round object,1
fox (Vulpes vulpes),chanterelle,1
leaf,chanterelle,1
sun,sail (n.),1
child,little finger,1
chain (n.),warp,1
yellow,chanterelle,1
friend,chanterelle,1
hare (Lepus),chanterelle,1
beautiful,chanterelle,1
ear,chanterelle,1
bell,talkative person,1
to glorify,"to disgrace, dishonor",1
water,river,1
white,Boletus edulis,1
elder brother,uncle (mother's brother),1
uncle (mother's brother),father-in-law,1
father,uncle (father's brother),1
to press down,gloomy,1
mother,"<exclamation of surprise, pain or sorrow>",1
goat,hare (Lepus),1
cat,hare (Lepus),1
hare (Lepus),cunning person,1
fly (n.),fly agaric (Amanita muscaria),1
"to raise, lift (tr.)",to discover game animals or birds (hunting),1
"to raise, lift (tr.)",to cause,1
"to raise, lift (tr.)",to cause to moving,1
"to raise, lift (tr.)",to increase (tr.),1
"to raise, lift (tr.)",to improve,1
to go up,to become better,1
to go up,to go upstream,1
to go up,to be exited,1
"to raise, lift (tr.)",to endure,1
"to raise, lift (tr.)",to endure a load,1
"to raise, lift (tr.)",to promote,1
"to raise, lift (tr.)",to draft (for the army),1
"to raise, lift (tr.)",to earth up (plants),1
"to raise, lift (tr.)",to ladle out (soup),1
"to raise, lift (tr.)",to move away,1
"to raise, lift (tr.)","to remove, eliminate",1
fire,hell,1
pure,"naked, bare",1
wave,wind,1
crane (Grus),pickaxe,1
fox (Vulpes vulpes),cat,1
to hear / to listen,to think,1
to hear / to listen,to remember,1
to hear / to listen,to decide,1
dragon,crocodile,1
bell,eye socket,1
to hear / to listen,to recognize,1
"to smell, scent",to detect,1
to see/to look at,to read,1
to see/to look at,to think,1
"to grasp, seize",to touch,1
to bite,to taste,1
"to grasp, seize","to learn, find out",1
eyelid,eyelash,1
to sit,buttock,1
rib,back (body part),1
eyeball,eyelid,1
straight,directly,1
straight,immediately,1
to creak,to scream,1
to blow,to whisper,1
breathing,smell,1
breathing,mind (n.),1
breathing,life,1
breathing,sigh,1
breathing,voice,1
to breathe,"to smell, scent",1
silent,to rest,1
"to smell, scent",to taste,1
mouth,ahead,1
head,ahead,1
straight,classical,1
straight,heterosexual,1
straight,undiluted,1
"to call (somebody), to call for",to mention,1
to cry (of animals),"to cry, weep",1
dead body,"phantom, ghost",1
alike,probable,1
gloomy,boring,1
to hear / to listen,fame,1
to smell (of smth),to smoke,1
to touch,"to try, to attempt",1
monk,osprey (Pandion haliaёtus),1
crown (n.),tonsure (of monk),1
to see/to look at,to shine,1
to touch,to deal with,1
to touch,to consider,1
to touch,relative (n.),1
expensive,Boletus edulis,1
fat (adj.)(of a person),Boletus edulis,1
Russian,Boletus edulis,1
beautiful,Boletus edulis,1
bread,Boletus edulis,1
needle-leaved forest,Boletus edulis,1
pine-tree,Boletus edulis,1
ear,"<mushroom, fungus>",1
soldier,Boletus edulis,1
forest,Boletus edulis,1
deaf,Boletus edulis,1
yellow,Boletus edulis,1
cow,Boletus edulis,1
bear (Ursus),Boletus edulis,1
noble,Boletus edulis,1
"ear, spike (of a grain plant)",Boletus edulis,1
"nut, hazel",Boletus edulis,1
priest (Christianity),Boletus edulis,1
fishing float (bobber),Boletus edulis,1
mushroom,Boletus edulis,1
barrel,Boletus edulis,1
hermit,Boletus edulis,1
root vegetable,Boletus edulis,1
bull,Boletus edulis,1
good,Boletus edulis,1
monarch,Boletus edulis,1
grey-haired,Boletus edulis,1
old man,Boletus edulis,1
dry,Boletus edulis,1
elephant,bishop (chess),1
horse (Equus caballus),knight (chess),1
spear,bishop (chess),1
<military rank>,bishop (chess),1
shooter,bishop (chess),1
hunter,bishop (chess),1
runner,bishop (chess),1
bishop,bishop (chess),1
"horseman, rider",knight (chess),1
camel,bishop (chess),1
jester,bishop (chess),1
jumper,knight (chess),1
crane (Grus),well sweep,1
beautiful,fly agaric (Amanita muscaria),1
to dance,fly agaric (Amanita muscaria),1
poison,fly agaric (Amanita muscaria),1
to sing,fly agaric (Amanita muscaria),1
moose,fly agaric (Amanita muscaria),1
red,fly agaric (Amanita muscaria),1
dead (adj.),fly agaric (Amanita muscaria),1
wolf (Canis lupus),fly agaric (Amanita muscaria),1
mouse,fly agaric (Amanita muscaria),1
insane,fly agaric (Amanita muscaria),1
doll,fly agaric (Amanita muscaria),1
spotted,fly agaric (Amanita muscaria),1
mute,talkative person,1
stump (of tree),honey mushroom (Armillaria mellea),1
fence,honey mushroom (Armillaria mellea),1
nettle (Urtica),honey mushroom (Armillaria mellea),1
honey,honey mushroom (Armillaria mellea),1
rooster,honey mushroom (Armillaria mellea),1
autumn,honey mushroom (Armillaria mellea),1
winter,honey mushroom (Armillaria mellea),1
funnel,chanterelle,1
curly-headed,chanterelle,1
Jewish,chanterelle,1
literally,figuratively,1
"genuine, true",very,1
age,weather,1
weather,god,1
mouth,talkative person,1
talkative person,hatched egg without embryo,1
sty (on the eye),hedgehog (Еrinaceus),1
tree,fire,1
free,cheap,1
to deprive,to steal,1
"stranger, foreign",to deprive,1
hunt down,deer,1
sudden,in vain,1
to come,to understand,1
fire,to shoot,1
knowledge,destiny,1
to be surprised,to wait,1
"power, authority",sentence (by a court),1
father,"<exclamation of surprise, pain or sorrow>",1
mother,original,1
mother,mother tongue,1
mother,earth,1
mother,<term of address to a woman>,1
father,<term of address to a man>,1
father,god,1
uncle (mother's brother),<term of address to a man>,1
father,grandfather,1
father,<priest>,1
"branch, twig",relative (n.),1
god,"<exclamation of surprise, pain or sorrow>",1
fast (n.),Friday,1
world,weather,1
big,pregnant,1
salty,sour,1
dog,flea,1
to finish,to marry,1
spicy,pain,1
to break (intr.),to be satisfied (sexually),1
earth,year,1
earth,weather,1
"country, land",year,1
lot,plot of land,1
mountain,year,1
earth,god,1
to win,"to gain, to earn",1
head,roof,1
head,to think,1
snake,rainbow,1
throat,flute,1
mule,sterile,1
drunk,rabid,1
to separate,to unravel,1
to separate,to spread (intr.),1
"earth, soil",clay,1
to be angry,to growl,1
bone,stem (of a plant),1
difficult,lazy,1
tree,"bush, shrub",1
"complex, complicated",difficult,1
pigeon (Columba),moth,1
to gather in the crops,to choose,1
child,pupil (of an eye),1
to fly away,to go overripe,1
boring,sad,1
hummingbird,lively person,1
green,pale,1
green,raw,1
"harm, damage","witchcraft, sorcery",1
to kill,to fish,1
east,upriver,1
heat,summer,1
good,comprehensible,1
west,downriver,1
to deceive,to cost,1
to spoil (intr.),to become infected,1
foot-wear,tyre (of a car),1
push button,bulb (of plant),1
nose,hood (of car),1
hot,"esteemed, venerable",1
market,square (of a town),1
"stone, rock",testicle,1
word,verb,1
to seem,to like,1
edge,coast,1
glass (material),mirror,1
pure,correct (adj.),1
necessary,toilet,1
<horned animal>,girl,1
clean (adj.),pure,1
grandmother,"witch, sorceress",1
weather,rheumatism,1
"to raise, lift (tr.)","to discharge, dismiss",1
to fire (of a weapon),"to discharge, dismiss",1
middle,waist,1
necessary,middle,1
slow (adj.),calm,1
end,udder,1
standart-bearer,"idler, loafer",1
to meet,to be appropriate (for),1
"to beat, hit",to felt,1
standart-bearer,<military rank>,1
dog,horse (Equus caballus),1
deer,horse (Equus caballus),1
deer,sheep,1
stump (of tree),cigarette end,1
to hiss,to blow (about wind),1
"to charm, to delight",to grieve (tr.),1
animal,fool,1
word,language,1
mute,talkative person,1
"to care for, look after","to spare, to economize",1
blood,ethnic group,1
eye,ray,1
life,age,1
to spell,to conjure,1
old woman,"witch, sorceress",1
owl,"witch, sorceress",1
Saturday,week,1
Friday,week,1
"shape, form",colour,1
frozen,unripe (fruit),1
green,unripe (fruit),1
"transversal, crosscut","stranger, foreign",1
root (of a plant),breed,1
root (of a plant),family,1
strong,loud,1
blood vessel,"spring, fountain",1
fisherman,osprey (Pandion haliaёtus),1
to divide into several parts,to share,1
to open (tr.),to switch on,1
to envy,to be zealous,1
water,sap (of a plant),1
to stand up,to disappear,1
water,broth,1
mirror,spectacles,1
head,table of contents,1
blunt,toothless,1
to shed leaves,lose weight,1
to kill,to exhaust,1
sun,time,1
pit,tomb,1
friend,peer,1
steam,smell,1
blind,illiterate,1
body,waist,1
heart,stone (of a fruit),1
unripe (fruit),young,1
weak,pregnant,1
root (of a plant),ancestor,1
buttock,pelvis,1
honest,healthy,1
soul,deceased,1
basket,beehive,1
blue,black,1
blue,novice,1
blue,beautiful,1
blue,drunk,1
red,order,1
bee swarm,crowd (of people),1
to wait,to need,1
father,male (animal),1
mother,parents,1
father,father-in-law,1
father,ancestor,1
father,mother,1
glass (material),drinking vessel,1
child,interest (finance),1
father,founder,1
man,father,1
father,native,1
white,bare (feet),1
stump (of tree),beehive,1
stump (of tree),fool,1
child,bee swarm,1
crossroads,mouth (of a river),1
father,defender,1
father,perfect person,1
father,owner,1
father,son,1
father,elder brother,1
father,elder sister,1
father,husband,1
father,elder,1
bone,needle,1
father,influential person,1
father,beginning,1
father,big,1
father,amazing,1
father,cause; reason,1
father,teacher,1
eternal,usual,1
wine,brown,1
"devil, satan",snail,1
"to beat, hit",to pump,1
owner,spirit,1
table; desk,flat (adj),1
to pursue,to recover a debt,1
to be inclined,to be lame in one leg,1
half,to be inclined,1
(body) side,door-post,1
to play (intr.),spawning,1
noise,quarrel,1
atheist,scoundrel,1
necessary,inevitable,1
autumn,sad,1
to make sit,"to plant, put (a seed or plant) in the ground",1
to make sit,to imprison,1
friend,pair,1
to warm up,to hatch eggs,1
warm,effeminate,1
to compare,to imitate,1
to carry,to endure a load,1
"grown-up, adult",boss,1
brain (cerebrum),"nut, hazel",1
disease,laziness,1
period of time,harvest,1
year,harvest,1
bad,"ill, sick, not well",1
bird,eagle,1
to accompany (music),to express agreement,1
"albumen, white of an egg",protein,1
"albumen, white of an egg",white of an eye,1
to sit,to hatch eggs,1
strong,influential person,1
inside,deep,1
to lie (posture),to copulate,1
next,second (adj.),1
another,second (adj.),1
part,beloved,1
smell,news,1
to go around,"to care for, look after",1
lazy,to deceive,1
lazy,stupid,1
goat,sty (on the eye),1
"<mushroom, fungus>",sty (on the eye),1
stamen,eyelash,1
butterfly,chaff,1
eyebrow,edge,1
aunt,<term of address to a woman>,1
swamp,bad,1
to be carried out,to die,1
end,territorial entity,1
spindle,neck,1
foot,beginning,1
before,ancestor,1
sun,fire,1
kidney,testicle,1
stone (of a fruit),kidney,1
kidney,heart,1
to move,animal,1
dark (adj.),animal,1
hair (of animals),animal,1
fish,animal,1
meat,animal,1
mirror,mirror (website),1
page,website,1
soaked in sauce,experienced,1
red,"heading, title",1
hare (Lepus),pacemaker (running),1
health,prosperity,1
green,healthy,1
wind,autumn,1
to make sausage,to kill,1
to sing,shaman,1
uncle (father's brother),stepfather,1
happy,rich,1
poor,"ill, sick, not well",1
middle,belt,1
armpit,to tickle,1
"aunt, father's sister",niece,1
"aunt, father's sister",mother-in-law,1
ochre,yellow,1
turmeric (Curcuma),yellow,1
cuttlefish,black,1
citron,yellow,1
clean (adj.),"devil, satan",1
blue,red,1
to stand up,to stop doing smth.,1
to be in time,to ripen,1
"to walk, to go",to lose,1
healthy,happy,1
animal,insect,1
mute,insane,1
stupid,insane,1
stupid,fat (adj.)(of a person),1
insect,fly (n.),1
insect,wasp,1
insect,"mosquito, gnat",1
hedgehog (Еrinaceus),chestnut,1
hail,stone (of a fruit),1
nest (n.),family,1
nest (n.),quiver,1
nest (n.),beehive,1
nest (n.),spider web,1
nest (n.),basket,1
crown (n.),best,1
crown (n.),peak of mountain,1
hump (of a person or camel),peak of mountain,1
red,copper,1
to load,to insult,1
heavy (of weight),disgusting,1
heavy (of weight),bothering,1
elder,boss,1
book (n.),letter (text),1
acorn,bean,1
cellar,clandestine activity,1
worm,beetle,1
"to raise, lift (tr.)",to take off,1
to move away,to abolish,1
to move away,to kill,1
to move away,to destroy,1
"to raise, lift (tr.)",to take off,1
to take off,to abolish,1
to take off,to move away,1
to relieve,to take off,1
glass (material),spectacles,1
glass (material),eye,1
to go out,to earth up (plants),1
"to miss somebogy, to long for",to invite,1
to sow,to invest,1
to sow,to inoculate,1
to feel,to know,1
dog,moon,1
atheist,<expression of anger>,1
comb,fin,1
comb (of a bird),fascicle (cluster of flowers or berries),1
comb,fascicle (cluster of flowers or berries),1
comb,harrow,1
comb,mane,1
to go down,"to fall (of rain, snow)",1
to shoot,to strike (of lightning),1
"to beat, hit",to strike (of lightning),1
button (on a dress),knot,1
many,difficult,1
expensive,difficult,1
to be born,to become,1
monarch,mesentery,1
"branch, twig",branch (of a river),1
little finger,branch (of a river),1
white,American,1
to go upstream,to go against the wind,1
to go upstream,to struggle,1
inland,upstream,1
to go upstream,to repatriate,1
now,soon,1
now,recently,1
to hit the target,to meet,1
straight,exactly,1
hajji,father,1
turnip (Brassica rapa var. rapa),tail,1
tail,fox (Vulpes vulpes),1
"rag, duster (?)",whore,1
lord,father,1
to drop (tr.),to lose,1
to surround,to understand,1
to go after smb.,to read,1
lap,"protection, patronage",1
"rope, string, cord, lashing",cause; reason,1
to go up,to stand up,1
"yard, courtyard",palace,1
"yard, courtyard",court (of a sovereign),1
court (of a sovereign),tribunal,1
to go out,to follow logically,1
duck,to follow unthinkingly,1
tail,to act according to,1
road,"meaning, sense",1
grass,"to pasture, shepherd",1
"to watch, look after","to search, to look for",1
to go after smb.,to be adherent,1
to go after smb.,"to help, aid",1
to go after smb.,to agree,1
to go after smb.,"to care for, look after",1
to go after smb.,should,1
to turn over,to turn back to look at smth.,1
funnel,whirlpool,1
frog,pondweed,1
<woman>,implement for ramming,1
whirlpool,whirlwind,1
beak,well sweep,1
vehicle,many,1
winter,"mist, fog",1
winter,hoar-frost,1
to sow,to cause,1
marten,money,1
sated by food,drunk,1
glass (material),bracelet,1
brother,<term of respectful address among equals>,1
son,child,1
green,stupid,1
younger brother,friend,1
younger brother,<term of address to a man>,1
younger sister,<term of address to a woman>,1
to slide,to move away,1
together,match,1
to move,to perform,1
quick,"to beware, be careful",1
to intoxicate,"to charm, to delight",1
sweet potato (Ipomoea batatas),potato,1
truffle,potato,1
pear,potato,1
"earth, soil",potato,1
yam (Dioscorea),potato,1
cone (fruit),potato,1
egg,potato,1
onion,potato,1
"nut, hazel",potato,1
chestnut,potato,1
Amorphophallus paeoniifolius,potato,1
ball (n.),potato,1
yam (Dioscorea),sweet potato (Ipomoea batatas),1
taro (Colocasia esculenta),potato,1
ocean,foreign,1
tuber,potato,1
egg,puffball,1
swelling (on skin),potato,1
nameless,ring finger,1
belly,river-bed,1
belly,beehive,1
"foundation, basement",main,1
black,beautiful,1
bottom of a dress,mountain foot,1
colour,caste,1
to see/to look at,to imitate,1
black,season (of the year),1
needle,stinger (of an insect),1
reed,penis,1
to see/to look at,to spy,1
"to grasp, seize",friend,1
younger sister,friend,1
snow,frost,1
to sweep,blizzard,1
deer,lion (Panthera leo),1
eye,spy,1
house,wife,1
life,death,1
frost,hell,1
poison,scorpion,1
jackal,warrior,1
snow,ice,1
sin,wrong,1
to throw,quick,1
to crawl,to climb,1
to stand,to consist of,1
space,square (of a town),1
leaf,letter (text),1
(body) side,side (n.),1
fresh,active,1
story,history,1
brown,suntanned,1
heel (of a foot),corner,1
finger/toe,sleeve,1
to cook (prepare food),"to cook, boil",1
to carry,to lead,1
"to search, to look for","to gain, to earn",1
eye,"grain, seed",1
to see/to look at,according to,1
wife,queen,1
second (adj.),wife,1
husband,god,1
tail,rear end,1
to taste,"to fit, try on",1
"to check, test","to fit, try on",1
"to try, to attempt","to fit, try on",1
cauldron,hell,1
<vessel>,volcanic crater,1
quiet (vs. loud),secret,1
low (location),secret,1
fireplace,house,1
fortress,prison,1
pit,prison,1
stable,prison,1
child,offspring,1
road,bridge,1
direction,"meaning, sense",1
curved,dishonest,1
to take,to copulate,1
to copulate,to deceive,1
"to walk, wander",to be delirious,1
shield,plaice (fish),1
house,verse,1
to fly,to break down,1
underwear,bed-clothes,1
white,bed-clothes,1
mouse,computer mouse,1
to cut,to gain illegal access to,1
to forgive,to bid farewell,1
to ride a surfboard,to browse through (a digital source),1
"short for ""good game""",a signal of a bad outcome,1
offspring,crowd (of people),1
to approach suddenly,to attack,1
a person who breaks rules,a person who hacks videogames,1
a person who hacks videogames,a person who breaks rules,1
to prohibit,to suspend from interacting with your social media,1
"reflection (in the mirror, water)",mirror (website),1
water,kind (n.),1
water,Mercury,1
Mercury,mercury,1
fire,Mars,1
metal,Venus,1
metal,gold,1
"wood, timber",Jupiter,1
tiger,cruel,1
foot,sediment,1
stomach,appetite,1
to feel pity,"to spare, to economize",1
to burn (intr.),bitter,1
to itch,to want,1
to burn (intr.),hot,1
sun,weather,1
resurrection,Sunday,1
"stopper, plug",traffic jam,1
to tell,to like,1
cholera,<expletive>,1
voice,word,1
voice,sound,1
voice,language,1
snow,hoar-frost,1
to fall down,to fall to one's lot,1
"to raise, lift (tr.)",to steal,1
"to untie, unbind",to divorce,1
cat,anchor,1
healthy,<positive evaluation>,1
to want,sperm,1
to sink into,anchor,1
iron,anchor,1
letter (character),letter (text),1
to fall down,suitable,1
to ask (for),to pray,1
to give birth,to spawn,1
to read,to scold,1
to go out,to be born,1
"to ask, inquire",ear,1
body,self,1
fruit,egg,1
mountain,"bank, shore",1
flute,shinbone,1
bellows,pot,1
uncle,<term of address to a man>,1
uncle (father's brother),<term of address to a man>,1
to dig,to cut (tr.),1
"to tear, rend",to dig,1
"to tear, rend",to investigate/examine,1
"spawn, roe",calf of a leg,1
crane (Grus),lifting machine,1
younger sibling,term of address to a wife,1
younger brother,husband,1
stomach,craw (of bird),1
squirrel (Sciurus),weasel (Mustella nivalis),1
squirrel (Sciurus),ladybird,1
spike,pike (fish),1
wolf (Canis lupus),pike (fish),1
crane (Grus),pike (fish),1
knife,pike (fish),1
mouth,by heart,1
"branch, twig",spur of mountain,1
big,"grown-up, adult",1
uninhabited place,"wild, untamed",1
"wild, untamed",shy,1
big,difficult,1
thick,raw,1
"to go, walk",to act,1
lotus,beloved,1
lotus,shower head,1
lotus,"jewel, precious stone",1
to know,to remember,1
"wild, untamed",predator,1
to threaten,thunderstorm,1
"scales,  weighing machine",testicle,1
"grain, seed",testicle,1
fruit,testicle,1
flower,beautiful,1
flower,best,1
duck,newspaper hoax,1
almond,tonsil,1
plum,tonsil,1
fruit,tonsil,1
quick,soon,1
hare (Lepus),moon,1
toad,moon,1
moon,coin,1
moon,white,1
moon,sky,1
umbrella,circular halo,1
umbrella,parachute,1
gold,moon,1
moon,sunflower,1
fan palm (Pritchardia pacifica),umbrella,1
bone,lean,1
bone,skeleton,1
sun,sunflower,1
top of the head,hill,1
front part,future,1
green,wet,1
arrow,shuttle (weaving instrument),1
to throw,shuttle (weaving instrument),1
spool,shuttle (weaving instrument),1
swallow (bird),shuttle (weaving instrument),1
beak,shuttle (weaving instrument),1
needle,shuttle (weaving instrument),1
air,gas,1
air,smell,1
monarch,king (a playing card),1
farmer,pawn (in chess),1
boy,pawn (in chess),1
green,inexperienced,1
seed (n.),novice,1
raw,inexperienced,1
immature fish,inexperienced,1
unbroken horse,inexperienced,1
letter (character),reverse side of a coin,1
star,letter (character),1
letter (character),body part,1
to pass by,"to be better than, to surpass",1
to pass by,"to do wrong, to commit a fault, to behave in a wrong way",1
fat (adj.)(of a person),pregnant,1
to encircle,pregnant,1
blue,gay,1
cheerful,gay,1
pink,happy,1
navy,dark blue,1
rowan,elder (Sambucus),1
<foreigner>,elder (Sambucus),1
faeces,elder (Sambucus),1
spruce (Picea),larch,1
wolf (Canis lupus),buckthorn (Frangula),1
dog,buckthorn (Frangula),1
raspberry,Arctic raspberry (Rubus arcticus),1
cloudberry (Rubus chamaemorus),Arctic raspberry (Rubus arcticus),1
honey,Arctic raspberry (Rubus arcticus),1
hair,gooseberry,1
spear,sting (n.),1
to die,to spoil (intr.),1
animal yield,"property, possessions",1
tail,stem (of a plant),1
sunflower,influential person,1
bull,<positive evaluation>,1
garbage,unimportant,1
"to spring, jump",to attack,1
blind alley,deadlock,1
crane (Grus),scatterbrain,1
tuberculosis,hepatitis,1
spear,bullet,1
bug (Heteroptera),pepperwort,1
bug (Heteroptera),sweet clover,1
spear,bug (Heteroptera),1
root (of a plant),root of tooth,1
burdock,importunate,1
smell,wild chamomile (Matricaria discoidea),1
smell,mint (Mentha),1
cat,cat's-foot (Antennaria),1
cat,valerian (Valeriana officinalis),1
tea,oregano,1
night-blindness,scarlet pimpernel (Anagallis arvensis),1
night-blindness,common buttercup (Ranunculus acris),1
finger/toe,belemnite,1
arrow,belemnite,1
candle,belemnite,1
pig (Sus scrofa),animal,1
together,immediately,1
still,again,1
suddenly,immediately,1
to give,dowry,1
blood,sap (of a plant),1
yolk,"spawn, roe",1
candle,spark plug,1
frankincense,oregano,1
head,thumb,1
elephant,thumb,1
monarch,thumb,1
"to poke, thrust",index finger,1
to point,index finger,1
shahada,index finger,1
faith,index finger,1
second (adj.),index finger,1
sharp,index finger,1
<unit of length>,index finger,1
almond,index finger,1
(body) side,index finger,1
thief,index finger,1
to insert,vagina,1
bud (of a flower),nipple (part of the breast),1
button (on a dress),nipple (part of the breast),1
pimple,nipple (part of the breast),1
to stumble,"to err, be wrong",1
"sign, designation",index finger,1
head,index finger,1
big,index finger,1
to sew,index finger,1
first,index finger,1
middle,middle finger,1
long (size),middle finger,1
big,middle finger,1
sharp,middle finger,1
third,middle finger,1
ring,ring finger,1
babble-tube,ring finger,1
fourth,ring finger,1
edge,ring finger,1
edge,little finger,1
child,ring finger,1
son,ring finger,1
gold,ring finger,1
orphan,ring finger,1
sparrow,little finger,1
side (n.),little finger,1
cuckoo,hoopoe (Upupa epops),1
bird,bat (Microchiroptera),1
frog,bat (Microchiroptera),1
to touch,to cause to moving,1
"footprint, track",descendant,1
Ranunculus,Centaurea cyanus,1
